Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3216,165,5,440.736288729,39.3571,-76.2917,39.3571,-76.2917,1,39,-84.51
link,3217,165,5,439.723858683,39.4028,-76.3115,39.4028,-76.3115,1,39,-84.51
link,3218,165,5,438.998774466,39.4077,-76.3252,39.4077,-76.3252,1,39,-84.51
link,3219,165,5,434.906373355,39.3925,-76.4015,39.3925,-76.4015,1,39,-84.51
link,3220,165,5,435.743675025,39.3823,-76.3856,39.3823,-76.3856,1,39,-84.51
link,3221,165,5,437.206843948,39.3771,-76.3581,39.3771,-76.3581,1,39,-84.51
link,3222,165,5,438.342297516,39.3692,-76.3367,39.3692,-76.3367,1,39,-84.51
link,3223,165,5,438.210200576,39.351,-76.3389,39.351,-76.3389,1,39,-84.51
link,3224,165,5,438.546801823,39.351,-76.3326,39.351,-76.3326,1,39,-84.51
link,3225,165,5,438.053793818,39.3405,-76.3417,39.3405,-76.3417,1,39,-84.51
link,3226,165,5,437.523411852,39.3382,-76.3516,39.3382,-76.3516,1,39,-84.51
link,3227,165,5,436.945687987,39.3372,-76.3624,39.3372,-76.3624,1,39,-84.51
link,3228,165,5,436.343502880,39.3305,-76.3736,39.3305,-76.3736,1,39,-84.51
link,3229,165,5,436.717274851,39.3173,-76.3665,39.3173,-76.3665,1,39,-84.51
link,3230,165,5,436.576897149,39.3132,-76.3691,39.3132,-76.3691,1,39,-84.51
link,3231,165,5,433.619626590,39.3237,-76.4245,39.3237,-76.4245,1,39,-84.51
link,3232,165,5,433.280358557,39.3181,-76.4308,39.3181,-76.4308,1,39,-84.51
link,3233,165,5,433.666289357,39.3057,-76.4235,39.3057,-76.4235,1,39,-84.51
link,3234,165,5,435.428409465,39.2716,-76.3905,39.2716,-76.3905,1,39,-84.51
link,3235,165,5,435.392012200,39.2649,-76.3912,39.2649,-76.3912,1,39,-84.51
link,3236,165,5,434.843074112,39.256,-76.4015,39.256,-76.4015,1,39,-84.51
link,3237,165,5,434.017297576,39.264,-76.4169,39.264,-76.4169,1,39,-84.51
link,3238,165,5,433.534616169,39.2737,-76.4259,39.2737,-76.4259,1,39,-84.51
link,3239,165,5,432.648283156,39.2969,-76.4425,39.2969,-76.4425,1,39,-84.51
link,3240,165,5,432.211013833,39.3021,-76.4507,39.3021,-76.4507,1,39,-84.51
link,3241,165,5,430.460084577,39.3106,-76.4835,39.3106,-76.4835,1,39,-84.51
link,3242,165,5,431.293470287,39.2829,-76.4678,39.2829,-76.4678,1,39,-84.51
link,3243,165,5,432.371032280,39.2567,-76.4477,39.2567,-76.4477,1,39,-84.51
link,3244,165,5,433.779461795,39.2383,-76.4215,39.2383,-76.4215,1,39,-84.51
link,3245,165,5,435.096108213,39.238,-76.3969,39.238,-76.3969,1,39,-84.51
link,3246,165,5,434.785810414,39.2278,-76.4028,39.2278,-76.4028,1,39,-84.51
link,3247,165,5,433.238030212,39.2059,-76.432,39.2059,-76.432,1,39,-84.51
